0.004808	1.000003	0.000009
0.009615	1.000005	0.000012
0.014423	1.000001	0.000015
0.019231	0.999999	0.000016
0.024038	1.000000	0.000014
0.028846	1.000000	0.000017
0.033654	0.999999	0.000011
0.038462	1.000001	0.000013
0.043269	0.999999	0.000017
0.048077	1.000002	0.000017
0.052885	1.000003	0.000016
0.057692	0.999999	0.000015
0.062500	0.999997	0.000012
0.067308	0.999879	0.000363
0.072115	0.999720	0.000668
0.076923	0.999682	0.000617
0.081731	0.999526	0.000734
0.086538	0.999237	0.001002
0.091346	0.999204	0.001042
0.096154	0.998517	0.002228
0.100962	0.997559	0.003142
0.105769	0.997194	0.006702
0.110577	0.996475	0.004250
0.115385	0.991472	0.007446
0.120192	0.991548	0.009238
0.125000	0.985779	0.011332
0.129808	0.911221	0.195196
0.134615	0.909894	0.203710
0.139423	0.797270	0.285138
0.144231	0.817712	0.253134
0.149038	0.620073	0.314235
0.153846	0.562691	0.299748
0.158654	0.550000	0.284620
0.163462	0.387381	0.170639
0.168269	0.345439	0.138933
0.173077	0.351763	0.069831
0.177885	0.340098	0.119827
0.182692	0.313303	0.072187
0.187500	0.297058	0.057910
0.192308	0.312701	0.079741
0.197115	0.328399	0.071095
0.201923	0.318590	0.100118
0.206731	0.282015	0.054924
0.211538	0.295068	0.074078
0.216346	0.300881	0.059556
0.221154	0.296517	0.060123
0.225962	0.323031	0.079306
0.230769	0.284649	0.058268
0.235577	0.317026	0.064286
0.240385	0.312376	0.053075
0.245192	0.306407	0.057191
0.250000	0.267669	0.072375
0.254808	0.307208	0.069013
0.259615	0.284739	0.064247
0.264423	0.273073	0.065828
0.269231	0.291892	0.068880
0.274038	0.289943	0.054809
0.278846	0.284056	0.053937
0.283654	0.278649	0.061042
0.288462	0.273364	0.047948
0.293269	0.268669	0.045453
0.298077	0.270190	0.056495
0.302885	0.279362	0.064674
0.307692	0.285209	0.056987
0.312500	0.283658	0.044527
0.317308	0.274590	0.066419
0.322115	0.259125	0.068012
0.326923	0.266657	0.066898
0.331731	0.268344	0.046911
0.336538	0.262817	0.059871
0.341346	0.265624	0.064103
0.346154	0.260697	0.049308
0.350962	0.269740	0.060717
0.355769	0.274042	0.046635
0.360577	0.273634	0.048712
0.365385	0.231892	0.046046
0.370192	0.250471	0.067468
0.375000	0.275438	0.052280
0.379808	0.244510	0.056480
0.384615	0.253610	0.060277
0.389423	0.250801	0.055169
0.394231	0.271433	0.043857
0.399038	0.236666	0.053684
0.403846	0.262303	0.044610
0.408654	0.256804	0.044914
0.413462	0.236852	0.055868
0.418269	0.231535	0.045566
0.423077	0.230045	0.051355
0.427885	0.249872	0.053255
0.432692	0.262328	0.049220
0.437500	0.252279	0.052151
0.442308	0.252529	0.050274
0.447115	0.239340	0.049499
0.451923	0.245398	0.060782
0.456731	0.245353	0.045566
0.461538	0.245549	0.037136
0.466346	0.257929	0.041572
0.471154	0.246314	0.048140
0.475962	0.248709	0.044278
0.480769	0.222712	0.047916
0.485577	0.249078	0.045609
0.490385	0.246507	0.059288
0.495192	0.239535	0.047254
0.500000	0.236221	0.040821
